commontrack_id,track_id,track_name,artist_id,artist_name,album_id,album_name
91371461,163706368,Giant,37499611,"Calvin Harris, Rag’n’Bone Man",31104750,Giant
89461086,160558134,Someone You Loved,33258132,Lewis Capaldi,30546018,Breach
92684360,165539233,Walk Me Home,6677,P!nk,31483304,Walk Me Home
71121319,163671668,Just You and I,444193,Tom Walker,31099556,Just You and I
93116284,166370598,So Am I,34038797,Ava Max,31647502,So Am I
93019789,166020990,Sucker,213992,Jonas Brothers,31581507,Sucker
91358051,163673227,Dancing with a Stranger,37484484,Sam Smith feat. Normani,31099880,Dancing with a Stranger
91699247,164289273,i'm so tired...,37573786,Lauv feat. Troye Sivan,31234765,i'm so tired...
91683849,164146000,Boasty (feat. Idris Elba),37570490,"Wiley feat. Stefflon Don, Sean Paul & Idris Elba",31207506,Boasty (feat. Idris Elba)
88392716,158988975,Shallow,36879228,Lady Gaga feat. Bradley Cooper,30239370,A Star Is Born Soundtrack
91464113,163873618,Don't Call Me Up,28849854,Mabel,31143530,Ivy To Roses (Mixtape)
86499039,155470934,Sweet but Psycho,34038797,Ava Max,29708093,Sweet but Psycho
91461158,165570523,Don't Feel Like Crying,33116439,Sigrid,30845925,Sucker Punch
91946611,164700107,Piece Of Your Heart,37631015,MEDUZA feat. Goodboys,31327270,Piece Of Your Heart
90098332,161600431,Nothing Breaks Like a Heart,37242102,Mark Ronson feat. Miley Cyrus,30729778,Nothing Breaks Like a Heart (feat. Miley Cyrus)
64071224,131503492,Nevermind,25679765,Dennis LLoyd,26386437,Nevermind
93192038,166307219,Talk,32569774,Khalid,31639797,Free Spirit
82016698,147549076,High Hopes,135957,Panic! At the Disco,28459246,Pray For the Wicked
80241660,144495560,Pretty Shining People,28269913,George Ezra,27968184,Staying at Tamara's
90892106,162822192,Wow.,28444515,Post Malone,30953639,Wow.
91132191,163280964,Juice,24748742,Lizzo,31036142,Juice
80241666,144495563,Shotgun,28269913,George Ezra,27968184,Staying at Tamara's
90047667,161500451,What More Can I Do?,269275,Jack Savoretti,30715104,Singing to Strangers
93236680,166370361,Here With Me,37897877,Marshmello feat. CHVRCHES,31647425,Here With Me
91785415,164289230,"break up with your girlfriend, i'm bored",13958599,Ariana Grande,31234760,"thank u, next"
84847868,159269346,No One,33490832,Jess Glynne,30295617,Always In Between (Deluxe)
92358703,165182718,Please Me,37724677,Cardi B feat. Bruno Mars,31432136,Please Me
92326008,165103651,Last Hurrah,27808732,Bebe Rexha,31412027,Last Hurrah
1968295,47296568,The Sun Ain't Gonna Shine Anymore,20402,The Walker Brothers,16463402,The Sun Ain't Gonna Shine
81625143,162001658,Just One Lifetime,35210550,Sting feat. Shaggy,30809276,44/876 (Deluxe)
88803747,162405518,Sunflower - Spider-Man: Into the Spider-Verse,35812180,Post Malone feat. Swae Lee,30873003,Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)
85349002,153485077,You Say,25312460,Lauren Daigle,29375517,Look Up Child
90652485,162470278,Old Town Road,36235669,Lil Nas X,30881734,Old Town Road
91473047,163859184,7 rings,13958599,Ariana Grande,31139544,7 rings
88393471,158998155,Without Me,33491439,Halsey,30240071,Without Me
